"MEALID","MEAL_NAME","MEAL_TYPE","DIET_TYPE","COOKING_METHOD","PREP_TIME_MIN","COOK_TIME_MIN"
1,"Other","Lunch","Vegan","Grilled",16,111
2,"Other","Lunch","Vegetarian","Fried",16,12
3,"Other","Breakfast","Paleo","Boiled",54,6
4,"Other","Lunch","Paleo","Fried",28,104
5,"Other","Breakfast","Vegan","Baked",34,47
6,"Other","Snack","Keto","Steamed",21,55
7,"Other","Breakfast","Low-Carb","Fried",52,46
8,"Other","Snack","Low-Carb","Raw",39,37
9,"Other","Breakfast","Keto","Baked",42,120
10,"Other","Dinner","Vegan","Baked",10,116
11,"Other","Lunch","Low-Carb","Roasted",47,119
12,"Other","Snack","Paleo","Raw",60,15
13,"Other","Snack","Vegan","Boiled",44,58
14,"Other","Breakfast","Balanced","Raw",42,120
15,"Other","Lunch","Keto","Boiled",46,15
16,"Other","Lunch","Balanced","Raw",50,37
17,"Other","Dinner","Paleo","Raw",60,50
18,"Other","Breakfast","Vegetarian","Fried",8,67
19,"Other","Dinner","Keto","Steamed",42,14
20,"Other","Dinner","Low-Carb","Roasted",49,89
21,"Other","Snack","Vegetarian","Raw",20,62
22,"Other","Snack","Balanced","Roasted",37,93
23,"Other","Dinner","Vegetarian","Baked",10,42
24,"Other","Dinner","Balanced","Steamed",18,28
